GENE_symbol	DRUG_name	DRUG_type
ADRA2C	Bethanidine	approved
CHRM1	Oxyphenonium	approved
ADRB1	Isoetarine	approved
KCNJ11	Glimepiride	approved
ABCC8	Glimepiride	approved
KCNJ1	Glimepiride	approved
NR3C1	Diflorasone	approved
SLC6A2	Guanadrel	approved
HMGCR	Lovastatin	approvedinvestigational
GABRA3	Enflurane	approvedvet_approved
GABRA6	Enflurane	approvedvet_approved
GABRA1	Enflurane	approvedvet_approved
GLRA1	Enflurane	approvedvet_approved
GABRB2	Enflurane	approvedvet_approved
GABRE	Enflurane	approvedvet_approved
ATP2C1	Enflurane	approvedvet_approved
GABRA5	Enflurane	approvedvet_approved
GABRG2	Enflurane	approvedvet_approved
GABRD	Enflurane	approvedvet_approved
GLRB	Enflurane	approvedvet_approved
GABRB1	Enflurane	approvedvet_approved
GRIA1	Enflurane	approvedvet_approved
GABRA4	Enflurane	approvedvet_approved
GABRA2	Enflurane	approvedvet_approved
GABRQ	Enflurane	approvedvet_approved
KCNA1	Enflurane	approvedvet_approved
GABRG1	Enflurane	approvedvet_approved
GABRB3	Enflurane	approvedvet_approved
GABRP	Enflurane	approvedvet_approved
GABRG3	Enflurane	approvedvet_approved
CACNA1A	Pregabalin	approvedillicitinvestigational
GABRA1	Temazepam	approved
GABRA2	Temazepam	approved
GABRA6	Temazepam	approved
GABRB3	Temazepam	approved
GABRG1	Temazepam	approved
GABRB2	Temazepam	approved
GABRA2	Temazepam	approved
GABRR1	Temazepam	approved
GABRD	Temazepam	approved
GABRR3	Temazepam	approved
GABRD	Temazepam	approved
GABRB1	Temazepam	approved
GABRA5	Temazepam	approved
GABRE	Temazepam	approved
GABRA4	Temazepam	approved
GABRB1	Temazepam	approved
GABRG2	Temazepam	approved
GABRA1	Temazepam	approved
GABRQ	Temazepam	approved
GABRA3	Temazepam	approved
GABRA4	Temazepam	approved
GABRB2	Temazepam	approved
GABRP	Temazepam	approved
GABRA3	Temazepam	approved
GABRR2	Temazepam	approved
GABRE	Temazepam	approved
GABRG1	Temazepam	approved
GABRA5	Temazepam	approved
GABRA6	Temazepam	approved
GABRP	Temazepam	approved
GABRG3	Temazepam	approved
GABRB3	Temazepam	approved
GABRQ	Temazepam	approved
GABRG3	Temazepam	approved
GABRG2	Temazepam	approved
SLC12A1	Methyclothiazide	approved
SLC6A2	Reboxetine	approvedinvestigational
PDE3A	Milrinone	approved
GABRA4	Butabarbital	approvedillicit
GABRA1	Butabarbital	approvedillicit
GABRD	Butabarbital	approvedillicit
GABRB2	Butabarbital	approvedillicit
GABRA3	Butabarbital	approvedillicit
GABRB3	Butabarbital	approvedillicit
GABRP	Butabarbital	approvedillicit
GABRA2	Butabarbital	approvedillicit
GABRG2	Butabarbital	approvedillicit
GABRQ	Butabarbital	approvedillicit
GABRE	Butabarbital	approvedillicit
GABRG1	Butabarbital	approvedillicit
GABRB1	Butabarbital	approvedillicit
GABRG3	Butabarbital	approvedillicit
GABRA6	Butabarbital	approvedillicit
GABRA5	Butabarbital	approvedillicit
NR3C1	Alclometasone	approved
GABRA1	Butalbital	approvedillicit
GABRB3	Butalbital	approvedillicit
GABRA6	Butalbital	approvedillicit
GABRA1	Butalbital	approvedillicit
GABRA4	Butalbital	approvedillicit
GABRB2	Butalbital	approvedillicit
GABRA2	Butalbital	approvedillicit
GABRE	Butalbital	approvedillicit
GABRB1	Butalbital	approvedillicit
GABRA3	Butalbital	approvedillicit
GABRA4	Butalbital	approvedillicit
GABRD	Butalbital	approvedillicit
GABRA2	Butalbital	approvedillicit
GABRG1	Butalbital	approvedillicit
GABRG3	Butalbital	approvedillicit
GABRP	Butalbital	approvedillicit
GABRA3	Butalbital	approvedillicit
GABRA5	Butalbital	approvedillicit
GABRA5	Butalbital	approvedillicit
GABRA6	Butalbital	approvedillicit
GABRG2	Butalbital	approvedillicit
GABRQ	Butalbital	approvedillicit
RRM1	Cladribine	approvedinvestigational
POLE2	Cladribine	approvedinvestigational
RRM2	Cladribine	approvedinvestigational
POLA1	Cladribine	approvedinvestigational
POLE3	Cladribine	approvedinvestigational
POLE	Cladribine	approvedinvestigational
PNP	Cladribine	approvedinvestigational
POLE4	Cladribine	approvedinvestigational
RRM2B	Cladribine	approvedinvestigational
SCN5A	Ranolazine	approvedinvestigational
ALOX5	Mesalazine	approved
PTGS2	Mesalazine	approved
PPARG	Mesalazine	approved
PTGS1	Mesalazine	approved
SLC6A3	Benzatropine	approved
CHRM1	Benzatropine	approved
HTR2A	Ziprasidone	approved
DRD2	Ziprasidone	approved
HTR2A	Methysergide	approved
HTR2C	Methysergide	approved
HTR7	Methysergide	approved
HTR1A	Methysergide	approved
HTR2B	Methysergide	approved
DRD2	Cabergoline	approved
SCN1A	Phenytoin	approvedvet_approved
SCN5A	Phenytoin	approvedvet_approved
NR3C1	Medrysone	approved
ESR1	Diethylstilbestrol	approved
ESRRG	Diethylstilbestrol	approved
ESR2	Diethylstilbestrol	approved
KCNN4	Clotrimazole	approvedvet_approved
PDE3A	Anagrelide	approved
GSR	Carmustine	approved
ADRB1	Metoprolol	approvedinvestigational
VKORC1	Dicoumarol	approved
DRD3	Ropinirole	approvedinvestigational
DRD2	Ropinirole	approvedinvestigational
ESR1	Chlorotrianisene	withdrawn
CACNA1C	Isradipine	approved
CACNA2D1	Isradipine	approved
CACNA1S	Isradipine	approved
CACNA1D	Isradipine	approved
CACNA1H	Isradipine	approved
CACNB2	Isradipine	approved
CACNA2D2	Isradipine	approved
HRH2	Betazole	approved
GABRB2	Topiramate	approved
GABRG1	Topiramate	approved
SCN1A	Topiramate	approved
GABRQ	Topiramate	approved
CA2	Topiramate	approved
GABRA2	Topiramate	approved
GABRG3	Topiramate	approved
GRIK1	Topiramate	approved
GABRB1	Topiramate	approved
GABRA3	Topiramate	approved
GABRG2	Topiramate	approved
GABRP	Topiramate	approved
GABRE	Topiramate	approved
GABRA4	Topiramate	approved
GABRB3	Topiramate	approved
GABRA5	Topiramate	approved
GABRD	Topiramate	approved
CA4	Topiramate	approved
GABRA1	Topiramate	approved
GABRA6	Topiramate	approved
GABRA1	Topiramate	approved
AGTR1	Olmesartan	approvedinvestigational
TOP2A	Amsacrine	approved
ADORA2A	Theophylline	approved
PDE4B	Theophylline	approved
HDAC2	Theophylline	approved
PDE4A	Theophylline	approved
PDE5A	Theophylline	approved
PDE3A	Theophylline	approved
ADORA1	Theophylline	approved
ADORA2B	Theophylline	approved
F2	Argatroban	approvedinvestigational
THRB	Liothyronine	approvedvet_approved
THRA	Liothyronine	approvedvet_approved
SCN5A	Disopyramide	approved
SCN9A	Lidocaine	approvedvet_approved
SCN5A	Lidocaine	approvedvet_approved
SCN10A	Lidocaine	approvedvet_approved
FDPS	Pamidronate	approved
HRH1	Clemastine	approved
GAA	Acarbose	approvedinvestigational
AMY2A	Acarbose	approvedinvestigational
MGAM	Acarbose	approvedinvestigational
SI	Acarbose	approvedinvestigational
SLC6A4	Venlafaxine	approved
SLC6A2	Venlafaxine	approved
ESR1	Conjugated Equine Estrogens	approved
PTGFR	Travoprost	approved
NR3C1	Amcinonide	approved
SLC6A2	Atomoxetine	approved
GABRG2	Etomidate	approved
GABRB2	Etomidate	approved
GABRG1	Etomidate	approved
GABRA3	Etomidate	approved
GABRA6	Etomidate	approved
GABRB1	Etomidate	approved
GABRB3	Etomidate	approved
GABRQ	Etomidate	approved
GABRA2	Etomidate	approved
GABRD	Etomidate	approved
GABRA5	Etomidate	approved
GABRA4	Etomidate	approved
GABRA1	Etomidate	approved
ADRA2B	Etomidate	approved
GABRE	Etomidate	approved
GABRG3	Etomidate	approved
GABRP	Etomidate	approved
GABRA1	Etomidate	approved
TYMS	Raltitrexed	approvedinvestigational
PGR	Etonogestrel	approvedinvestigational
ESR1	Etonogestrel	approvedinvestigational
OPRK1	Morphine	approvedinvestigational
OPRM1	Morphine	approvedinvestigational
OPRD1	Morphine	approvedinvestigational
SCN10A	Ropivacaine	approved
SCN10A	Bupivacaine	approvedinvestigational
ADRA1A	Dapiprazole	approved
ADRA1D	Dapiprazole	approved
ADRA1B	Dapiprazole	approved
PLG	Tranexamic Acid	approved
PGR	Desogestrel	approved
ESR1	Desogestrel	approved
GABRA4	Talbutal	approvedillicit
GABRB1	Talbutal	approvedillicit
GABRG3	Talbutal	approvedillicit
GABRA6	Talbutal	approvedillicit
GABRE	Talbutal	approvedillicit
GABRG2	Talbutal	approvedillicit
GABRA1	Talbutal	approvedillicit
GABRA4	Talbutal	approvedillicit
GABRA6	Talbutal	approvedillicit
GABRA3	Talbutal	approvedillicit
GABRA2	Talbutal	approvedillicit
GABRA1	Talbutal	approvedillicit
GABRQ	Talbutal	approvedillicit
GABRB3	Talbutal	approvedillicit
GABRD	Talbutal	approvedillicit
GABRP	Talbutal	approvedillicit
GABRG1	Talbutal	approvedillicit
GABRA5	Talbutal	approvedillicit
GABRB2	Talbutal	approvedillicit
GABRA5	Talbutal	approvedillicit
GABRA3	Talbutal	approvedillicit
GABRA2	Talbutal	approvedillicit
RXRG	Bexarotene	approvedinvestigational
RXRA	Bexarotene	approvedinvestigational
RXRB	Bexarotene	approvedinvestigational
CACNA1C	Ibutilide	approved
KCNH2	Ibutilide	approved
CACNB1	Ibutilide	approved
TUBB1	Vindesine	approved
SLC12A1	Chlorthalidone	approved
CA4	Ethoxzolamide	withdrawn
CA2	Ethoxzolamide	withdrawn
CA1	Ethoxzolamide	withdrawn
CA7	Ethoxzolamide	withdrawn
GABRG1	Pentobarbital	approvedvet_approved
GABRG2	Pentobarbital	approvedvet_approved
GABRG3	Pentobarbital	approvedvet_approved
GABRD	Pentobarbital	approvedvet_approved
GABRA6	Pentobarbital	approvedvet_approved
GABRQ	Pentobarbital	approvedvet_approved
GABRP	Pentobarbital	approvedvet_approved
GABRB1	Pentobarbital	approvedvet_approved
GABRA6	Pentobarbital	approvedvet_approved
GABRA5	Pentobarbital	approvedvet_approved
GABRA3	Pentobarbital	approvedvet_approved
GABRA3	Pentobarbital	approvedvet_approved
GABRA2	Pentobarbital	approvedvet_approved
GABRA4	Pentobarbital	approvedvet_approved
GABRA4	Pentobarbital	approvedvet_approved
GABRA5	Pentobarbital	approvedvet_approved
GABRA1	Pentobarbital	approvedvet_approved
GABRA1	Pentobarbital	approvedvet_approved
GABRE	Pentobarbital	approvedvet_approved
GABRA2	Pentobarbital	approvedvet_approved
GABRB3	Pentobarbital	approvedvet_approved
GABRB2	Pentobarbital	approvedvet_approved
ABAT	Valproic Acid	approvedinvestigational
HDAC9	Valproic Acid	approvedinvestigational
HTR1F	Zolmitriptan	approvedinvestigational
HTR1B	Zolmitriptan	approvedinvestigational
HTR1A	Zolmitriptan	approvedinvestigational
HTR1D	Zolmitriptan	approvedinvestigational
PTGS2	Acetaminophen	approved
PTGS1	Acetaminophen	approved
EGFR	Gefitinib	approvedinvestigational
OPRK1	Codeine	approvedillicit
OPRM1	Codeine	approvedillicit
OPRD1	Codeine	approvedillicit
HTR1D	Dihydroergotamine	approved
HTR1B	Dihydroergotamine	approved
SLC6A2	Amitriptyline	approved
SLC6A4	Amitriptyline	approved
HTR2A	Amitriptyline	approved
TYMS	Floxuridine	approved
COMT	Tolcapone	approvedwithdrawn
NR3C1	Fluorometholone	approved
NPR1	Nitroprusside	approved
OPRD1	Hydromorphone	approvedillicit
OPRM1	Hydromorphone	approvedillicit
OPRK1	Hydromorphone	approvedillicit
PTGS2	Indomethacin	approvedinvestigational
PLA2G2A	Indomethacin	approvedinvestigational
PRKAB1	Metformin	approved
CHRM1	Ipratropium bromide	approved
CHRM2	Ipratropium bromide	approved
CHRM3	Ipratropium bromide	approved
CHRNA10	Methadone	approved
OPRM1	Methadone	approved
GRIN3A	Methadone	approved
OPRD1	Methadone	approved
DRD2	Olanzapine	approvedinvestigational
HTR2A	Olanzapine	approvedinvestigational
ADRB1	Atenolol	approved
MTOR	Pimecrolimus	approvedinvestigational
ATP4A	Omeprazole	approvedinvestigationalvet_approved
CHRM1	Metixene	approved
CHRM4	Metixene	approved
CHRM5	Metixene	approved
HRH1	Cetirizine	approved
HRH1	Terfenadine	withdrawn
CACNG1	Diltiazem	approved
SLC6A2	Protriptyline	approved
SLC6A4	Protriptyline	approved
ADRA1A	Alfuzosin	approvedinvestigational
ADRA1B	Alfuzosin	approvedinvestigational
ADRA1D	Alfuzosin	approvedinvestigational
CACNA1G	Trimethadione	approved
HPD	Nitisinone	approvedinvestigational
GABRA6	Clobazam	approvedillicit
GABRP	Clobazam	approvedillicit
GABRG3	Clobazam	approvedillicit
GABRQ	Clobazam	approvedillicit
GABRA2	Clobazam	approvedillicit
GABRA1	Clobazam	approvedillicit
GABRA3	Clobazam	approvedillicit
GABRG2	Clobazam	approvedillicit
GABRG1	Clobazam	approvedillicit
GABRB3	Clobazam	approvedillicit
GABRE	Clobazam	approvedillicit
GABRD	Clobazam	approvedillicit
GABRB1	Clobazam	approvedillicit
GABRA4	Clobazam	approvedillicit
GABRB2	Clobazam	approvedillicit
GABRA5	Clobazam	approvedillicit
KCNJ1	Minoxidil	approved
PGR	Megestrol acetate	approvedvet_approved
DRD1	Methylergometrine	approved
CHRM1	Buclizine	approved
HRH1	Buclizine	approved
KCNMA1	Chlorzoxazone	approved
CYP11A1	Aminoglutethimide	approved
CYP19A1	Aminoglutethimide	approved
HBA1	Mefloquine	approved
NOS3	Sapropterin	approvedinvestigational
TH	Sapropterin	approvedinvestigational
PAH	Sapropterin	approvedinvestigational
TPH1	Sapropterin	approvedinvestigational
TUBB	Vinorelbine	approvedinvestigational
DRD2	Clozapine	approved
HTR2A	Clozapine	approved
EGF	Sucralfate	approved
FGF2	Sucralfate	approved
HRH1	Doxylamine	approvedvet_approved
SRD5A1	Levonorgestrel	approvedinvestigational
ESR1	Levonorgestrel	approvedinvestigational
PGR	Levonorgestrel	approvedinvestigational
ADRA1D	Norepinephrine	approved
ADRA1A	Norepinephrine	approved
ADRA1B	Norepinephrine	approved
ADRB3	Norepinephrine	approved
ADRA2A	Norepinephrine	approved
ADRB2	Norepinephrine	approved
ADRA2B	Norepinephrine	approved
ADRB1	Norepinephrine	approved
ADRA2C	Norepinephrine	approved
HTR3A	Mirtazapine	approved
HTR2A	Mirtazapine	approved
ADRA2A	Mirtazapine	approved
GABRG3	Meprobamate	approvedillicit
GABRQ	Meprobamate	approvedillicit
GABRA2	Meprobamate	approvedillicit
GABRP	Meprobamate	approvedillicit
GABRG2	Meprobamate	approvedillicit
GABRA5	Meprobamate	approvedillicit
GABRA1	Meprobamate	approvedillicit
GABRG1	Meprobamate	approvedillicit
GABRB1	Meprobamate	approvedillicit
GABRB3	Meprobamate	approvedillicit
GABRD	Meprobamate	approvedillicit
GABRA6	Meprobamate	approvedillicit
GABRA5	Meprobamate	approvedillicit
GABRA1	Meprobamate	approvedillicit
GABRB2	Meprobamate	approvedillicit
GABRA2	Meprobamate	approvedillicit
GABRA3	Meprobamate	approvedillicit
GABRA6	Meprobamate	approvedillicit
GABRE	Meprobamate	approvedillicit
GABRA4	Meprobamate	approvedillicit
GABRA4	Meprobamate	approvedillicit
GABRA3	Meprobamate	approvedillicit
ADRB2	Timolol	approved
ADRB1	Timolol	approved
PTGIR	Treprostinil	approvedinvestigational
PPARD	Treprostinil	approvedinvestigational
P2RY12	Treprostinil	approvedinvestigational
CHRM1	Trihexyphenidyl	approved
HTR3A	Palonosetron	approvedinvestigational
PGR	Dydrogesterone	approvedwithdrawn
SCN5A	Mexiletine	approved
TOP2A	Dexrazoxane	approvedwithdrawn
CACNA2D1	Amlodipine	approved
CACNA1C	Amlodipine	approved
CACNA1S	Amlodipine	approved
CACNA1D	Amlodipine	approved
CACNB2	Amlodipine	approved
ACHE	Tacrine	withdrawn
BCHE	Tacrine	withdrawn
CHRM2	Oxyphencyclimine	approved
CHRM3	Oxyphencyclimine	approved
CHRM1	Oxyphencyclimine	approved
SCNN1A	Triamterene	approved
SCNN1B	Triamterene	approved
SCNN1G	Triamterene	approved
