gene	rseq
ZNF85	NM_001256171
AP2A2	NM_001242837
BRF1	NM_001519
ACSS1	NM_032501
BMPR1B	NM_001256793
FAM49B	NM_016623
IQSEC2	NM_001111125
PIM1	NM_001243186
ATP7B	NM_000053
TAF1C	NM_005679
DNPH1	NM_006443
DIAPH1	NM_005219
INSL3	NM_001265587
CALD1	NM_033138
EOMES	NM_005442
OR6P1	NM_001160325
TGFBRAP1	NM_004257
TMEM136	NM_001198670
TRIM6	NM_001003818
XIRP1	NM_194293
CDC27	NM_001114091
HCK	NM_002110
CDC25A	NM_001789
SEMA6A	NM_020796
SHMT2	NM_005412
JAK3	NM_000215
MLNR	NM_001507
ATXN7	NM_001177387
BAI1	NM_001702
GDI2	NM_001494
ADRA1A	NM_033303
ADRA1B	NM_000679
ADRA1D	NM_000678
ADORA3	NM_020683
XKRX	NM_212559
FPGT-TNNI3K	NM_001112808
HIF1A	NM_001243084
IGF1	NM_001111285
UBE2E1	NM_003341
DUSP18	NM_152511
TAC1	NM_003182
SYT5	NM_003180
SYP	NM_003179
SEC31A	NM_014933
TRPT1	NM_001160389
SIGLEC10	NM_033130
PARP8	NM_024615
ASIP	NM_001672
ARSD	NM_001669
ARVCF	NM_001670
EYA3	NM_001990
NDN	NM_002487
NDUFS6	NM_004553
NDUFS5	NM_004552
NDUFB10	NM_004548
NDUFB2	NM_004546
NDUFA3	NM_004542
SLC7A6	NM_003983
RGS4	NM_001102445
RARRES2	NM_002889
PPIF	NM_005729
CTDSP2	NM_005730
COL8A1	NM_001850
ENO2	NM_001975
PAX7	NM_002584
PAWR	NM_002583
PAPPA	NM_002581
VMO1	NM_182566
SLC4A11	NM_001174090
CADPS2	NM_001167940
OSBPL5	NM_020896
MORF4L2	NM_012286
OTUD1	NM_001145373
TCEB1	NM_005648
UMOD	NM_003361
SPRR1A	NM_005987
CA8	NM_004056
SOCS3	NM_003955
SLC6A9	NM_201649
ZMYND8	NM_183047
C9orf50	NM_199350
LRRC33	NM_198565
CCDC38	NM_182496
C3orf62	NM_198562
LHFPL4	NM_198560
SYVN1	NM_172230
CSF3	NM_000759
SULT2B1	NM_177973
TAPBP	NM_172208
PPP2R5D	NM_006245
SFI1	NM_001007467
IL31RA	NM_139017
RASGRP4	NM_170604
PPM1H	NM_020700
ABAT	NM_000663
COL4A2	NM_001846
KIFAP3	NM_014970
ERV3-1	NM_001007253
CLDN3	NM_001306
VMA21	NM_001017980
PIP4K2C	NM_024779
EWSR1	NM_013986
TMEM216	NM_001173991
FGFR2	NM_022970
SLC6A15	NM_182767
ZIM2	NM_015363
DYNLL1	NM_003746
CDKL5	NM_003159
ZNF205	NM_003456
PQBP1	NM_005710
POLR1B	NM_019014
GLOD5	NM_001080489
ONECUT3	NM_001080488
PPIP5K1	NM_001130858
FGFR3	NM_001163213
PPP1R26	NM_014811
MBTD1	NM_017643
EPB41L1	NM_012156
HPGDS	NM_014485
COMMD4	NM_017828
TMEM40	NM_018306
MBTPS2	NM_015884
ZNF593	NM_015871
PPARG	NM_015869
BCL2L14	NM_138722
HMGA1	NM_145899
ZFPM1	NM_153813
ANKRD13B	NM_152345
SPATA32	NM_152343
CDYL2	NM_152342
CAMK2G	NM_172171
CDH10	NM_006727
RAB32	NM_006834
COPS6	NM_006833
FAM208A	NM_001112736
PALLD	NM_001166108
EMC2	NM_014673
UBE3C	NM_014671
EPGN	NM_001270989
TMEM254	NM_001270367
PGA5	NM_014224
PNMA1	NM_006029
MFI2	NM_005929
TM4SF1	NM_014220
TVP23B	NM_016078
KIAA0895	NM_001100425
KIAA1109	NM_015312
TSSC4	NM_005706
GJB2	NM_004004
KLHL24	NM_017644
TLX2	NM_016170
NONO	NM_007363
RGS9	NM_003835
C21orf2	NM_001271441
FAM84B	NM_174911
PIK3CB	NM_006219
AK4	NM_013410
SLC3A2	NM_001012662
KIAA1324	NM_020775
WDR36	NM_139281
C7orf41	NM_152793
ASPRV1	NM_152792
PLAC4	NM_182832
ZNF555	NM_152791
FAM133B	NM_152789
ANKS1B	NM_152788
TAB3	NM_152787
CATSPERD	NM_152784
D2HGDH	NM_152783
N6AMT2	NM_174928
YWHAZ	NM_003406
MAP4K4	NM_145686
SUN3	NM_152782
CCDC63	NM_152591
IFLTD1	NM_001145728
TMTC2	NM_152588
AMDHD1	NM_152435
NOP9	NM_174913
C17orf77	NM_152460
C16orf89	NM_152459
IL34	NM_152456
ZSCAN29	NM_152455
FAM81A	NM_152450
LRFN5	NM_152447
CEP128	NM_152446
FAM161B	NM_152445
PTGR2	NM_152444
RDH12	NM_152443
RAD9B	NM_152442
BEST3	NM_032735
C12orf66	NM_152440
DDX11	NM_152438
ZNF664	NM_152437
NDOR1	NM_001144026
SFTPA1	NM_001093770
STON1-GTF2A1L	NM_172311
YPEL3	NM_031477
KIAA0319	NM_014809
THEMIS2	NM_001105556
PLXNB1	NM_002673
VCL	NM_014000
BAP1	NM_004656
QSER1	NM_001076786
CASC1	NM_018272
MYSM1	NM_001085487
P2RX4	NM_001256796
DTNA	NM_001390
TPMT	NM_000367
POLR2B	NM_000938
FLNB	NM_001164317
ETV4	NM_001986
CELSR2	NM_001408
DOCK9	NM_001130049
RNF103	NM_005667
SPG7	NM_003119
SPI1	NM_001080547
RUNX3	NM_001031680
RUNX2	NM_001024630
CASP5	NM_001136112
CASP3	NM_004346
UAP1	NM_003115
SP4	NM_003112
WASF1	NM_003931
C3AR1	NM_004054
BYSL	NM_004053
RBM8A	NM_005105
LGALS3BP	NM_005567
DOC2A	NM_003586
DGKD	NM_152879
AGAP1	NM_001037131
HSPE1	NM_002157
MAPK9	NM_002752
MAPK11	NM_002751
MAPK7	NM_002749
S100A8	NM_002964
SLPI	NM_003064
B3GALNT1	NM_003781
B4GALT2	NM_030587
CUL4A	NM_001008895
MAPK8	NM_139047
ARRDC1	NM_152285
B3GALT5	NM_006057
PLCZ1	NM_033123
ITM2C	NM_030926
CD109	NM_133493
TRIM47	NM_033452
TRIM8	NM_030912
SAT2	NM_133491
SLC26A10	NM_133489
RAD51	NM_133487
MBNL3	NM_018388
TANK	NM_004180
PARS2	NM_152268
BMPER	NM_133468
ZFP90	NM_133458
SHROOM1	NM_001172700
RAVER1	NM_133452
PMF1-BGLAP	NM_001199661
MDP1	NM_138476
ECE2	NM_014693
ZNF837	NM_138466
TLCD1	NM_138463
ZMYND19	NM_138462
LIPT1	NM_015929
MBD3L1	NM_145208
CBLB	NM_170662
CRISP1	NM_001131
CREB3L4	NM_130898
BBS9	NM_198428
IRX5	NM_005853
CACNA1G	NM_018896
NXN	NM_022463
SEH1L	NM_001013437
OR7G3	NM_001001958
OR2W3	NM_001001957
PAFAH1B2	NM_002572
NCOA7	NM_181782
CXCR2	NM_001557
WWTR1	NM_015472
ZDHHC8	NM_001185024
ELAVL4	NM_001144775
PHKG1	NM_001258459
BUB1	NM_004336
BMPR1A	NM_004329
BNIP2	NM_004330
OGFR	NM_007346
NAGK	NM_017567
SNAP91	NM_014841
FMOD	NM_002023
CTPS1	NM_001905
PSMD10	NM_002814
PSMD3	NM_002809
MCM3	NM_002388
PSMB6	NM_002798
UBA52	NM_003333
SLC1A4	NM_003038
SKI	NM_003036
RNASE3	NM_002935
STIL	NM_001048166
HAT1	NM_003642
SERPINF1	NM_002615
CUL3	NM_001257198
PDK1	NM_002610
CCDC88A	NM_001135597
SH2D3C	NM_170600
F7	NM_000131
GML	NM_002066
NCF4	NM_013416
ANK3	NM_020987
GNAT3	NM_001102386
IWS1	NM_017969
GSDMD	NM_024736
FBXL20	NM_032875
MRGPRG	NM_001164377
LY6E	NM_002346
ZFAND4	NM_174890
SIRT1	NM_012238
ZNF138	NM_001271639
DYNLT3	NM_006520
VPREB3	NM_013378
ATCAY	NM_033064
AGPAT9	NM_032717
CATSPERB	NM_024764
CHD9	NM_025134
CBX2	NM_005189
COL11A1	NM_080629
FPGS	NM_004957
ETV1	NM_004956
SGPL1	NM_003901
ITIH1	NM_002215
PTPRK	NM_001135648
CALHM2	NM_015916
SLC25A39	NM_001143780
IFFO2	NM_001136265
SLC35B3	NM_015948
CAAP1	NM_024828
FAM13C	NM_198215
SPAG1	NM_003114
AP2B1	NM_001030006
NFKBIL1	NM_005007
MCF2	NM_001171876
TMEM253	NM_001146683
MIER2	NM_017550
CDV3	NM_017548
PKD2L2	NM_014386
GABPB1	NM_005254
LRRC20	NM_207119
KIRREL	NM_018240
BRWD1	NM_018963
TEX264	NM_015926
PTPRE	NM_006504
DMRT2	NM_181872
SERPINA1	NM_000295
CTSA	NM_000308
PHLDB2	NM_001134438
SPOCK2	NM_014767
LEPREL1	NM_018192
RGS6	NM_001204416
NEK4	NM_003157
HTR4	NM_001040173
ANK2	NM_001148
OR10X1	NM_001004477
OR10K2	NM_001004476
OR10S1	NM_001004474
DMP1	NM_004407
STARD8	NM_001142503
GCNT1	NM_001490
ENTPD6	NM_001247
NAA16	NM_024561
PRDM2	NM_012231
TGFB2	NM_001135599
CLHC1	NM_152385
MUC1	NM_001204286
NRP1	NM_003873
USP48	NM_032236
PDK2	NM_002611
ZSCAN9	NM_001199479
KAT7	NM_007067
LTF	NM_002343
RASAL1	NM_001193520
CYP2C8	NM_000770
CYP2B6	NM_000767
CYP2A13	NM_000766
PARL	NM_018622
DAP3	NM_004632
LIPF	NM_001198829
BCKDK	NM_005881
PCDH7	NM_001173523
LDHD	NM_153486
MAGI3	NM_001142782
NUPR1L	NM_001145712
ALDH3A1	NM_000691
ANGPT1	NM_001146
ANGPT2	NM_001147
FPR3	NM_002030
BLM	NM_000057
GRK1	NM_002929
ALS2CL	NM_147129
PTGER3	NM_198718
LRRC43	NM_001098519
RRP12	NM_015179
TENM1	NM_001163278
EIF4G2	NM_001418
MUC17	NM_001040105
OPALIN	NM_033207
MTMR14	NM_001077525
ATP1B2	NM_001678
DYNC2H1	NM_001080463
HSPA4L	NM_014278
CNIH4	NM_014184
ORMDL2	NM_014182
ZBTB33	NM_006777
QKI	NM_006775
NOG	NM_005450
FAIM3	NM_005449
PRKAB1	NM_006253
SYNGAP1	NM_006772
PGRMC1	NM_006667
PRB2	NM_006248
MSLN	NM_013404
MATR3	NM_018834
TMEM144	NM_018342
CDH22	NM_021248
CCNJ	NM_001134375
GIPC1	NM_005716
KIAA1429	NM_015496
LIN54	NM_194282
GLS2	NM_013267
TIRAP	NM_148910
IL18BP	NM_005699
ARCN1	NM_001655
HRH4	NM_021624
SLC38A4	NM_018018
NEK3	NM_002498
AFAP1L1	NM_152406
SUMF2	NM_001130069
SYT3	NM_032298
SH2B1	NM_001145795
EMD	NM_000117
EDNRB	NM_001201397
PAFAH2	NM_000437
CLTA	NM_007096
CLPS	NM_001832
SERPINF2	NM_000934
GH1	NM_000515
GDNF	NM_001190468
CCDC179	NM_001195637
RABEPK	NM_005833
UGT1A1	NM_000463
UBE3A	NM_000462
CLCN6	NM_001286
CDSN	NM_001264
THPO	NM_000460
AQP4	NM_001650
FCGBP	NM_003890
CCL1	NM_002981
ATP5G1	NM_005175
ATP5C1	NM_001001973
TUBGCP3	NM_006322
TNFSF8	NM_001244
CYP2C9	NM_000771
HDAC2	NM_001527
HCRT	NM_001524
TPI1	NM_001159287
CD320	NM_016579
APC	NM_000038
ANK1	NM_001142446
FES	NM_002005
ACTN1	NM_001130004
IFI44L	NM_006820
ESYT2	NM_020728
NKIRAS1	NM_020345
SLC39A10	NM_020342
PAK7	NM_020341
ZBTB21	NM_020727
HSD11B1L	NM_001267868
DEDD2	NM_133328
NUDT1	NM_198949
UPP1	NM_003364
KRTAP6-3	NM_181605
CACFD1	NM_001242369
MCOLN3	NM_018298
MAP3K13	NM_004721
GRB7	NM_001242442
PRDM5	NM_018699
GPRC5C	NM_022036
CBWD1	NM_018491
CCNL1	NM_020307
CUZD1	NM_022034
SGSM1	NM_001039948
RANGRF	NM_016492
GORAB	NM_152281
NDRG4	NM_001130487
RNF41	NM_005785
LCN1	NM_001252618
ACIN1	NM_014977
ZMYM3	NM_005096
C22orf24	NM_015372
FCGR3A	NM_000569
LIPA	NM_000235
TMEM106C	NM_024056
RAB40C	NM_021168
PPFIA2	NM_003625
CIT	NM_001206999
IZUMO4	NM_001039846
DDC	NM_000790
LIPN	NM_001102469
PTCH1	NM_000264
MRPL38	NM_032478
TTYH1	NM_001005367
WDHD1	NM_007086
FAM122C	NM_001170779
SYTL4	NM_080737
RFPL2	NM_001098527
ISPD	NM_001101426
EIF2AK1	NM_014413
ORAI2	NM_032831
C11orf94	NM_001080446
PATE3	NM_001129883
PTP4A2	NM_080391
PRODH	NM_016335
NUP62	NM_012346
MYADML2	NM_001145113
TNRC6C	NM_001142640
IGFALS	NM_001146006
CCDC107	NM_174923
PCSK2	NM_002594
MBD1	NM_001204136
ARPC4	NM_001198780
PKMYT1	NM_004203
TRPV3	NM_001258205
OR4K13	NM_001004714
OR1I1	NM_001004713
U2AF1L4	NM_144987
MFSD12	NM_021731
RBFOX2	NM_001082578
MECOM	NM_004991
ZC3H14	NM_024824
SEPT7	NM_001011553
PTHLH	NM_198965
SNIP1	NM_024700
RAB11FIP4	NM_032932
EFTUD1	NM_024580
MPZL1	NM_003953
GALNT14	NM_001253826
C6orf211	NM_024573
NDNF	NM_024574
TNFAIP8L2	NM_024575
COMMD9	NM_014186
IL15RA	NM_001256765
IL13	NM_002188
IL12B	NM_002187
IL6ST	NM_002184
PIEZO1	NM_001142864
CALCB	NM_000728
CXCL10	NM_001565
CD247	NM_198053
CD3E	NM_000733
CD3D	NM_000732
ETHE1	NM_014297
CP	NM_000096
THAP3	NM_001195753
TMEM178B	NM_001195278
TLR10	NM_030956
LMO1	NM_002315
OAS2	NM_016817
FGF11	NM_004112
FDX1	NM_004109
MYH9	NM_002473
CXCL5	NM_002994
SLC28A2	NM_004212
TAF4	NM_003185
GRHPR	NM_012203
GAA	NM_000152
G6PC	NM_000151
FUT3	NM_000149
CYP26A1	NM_000783
MEF2C	NM_001193347
MICU1	NM_001195518
KIF16B	NM_001199866
SNX10	NM_013322
PMM2	NM_000303
ZNF33B	NM_006955
ZNF33A	NM_006954
UPK3A	NM_006953
TRAK1	NM_001042646
KCNJ13	NM_002242
SCNM1	NM_024041
FAM21C	NM_015262
FCRLA	NM_001184866
FAM104B	NM_001166699
LOXHD1	NM_144612
FBXO11	NM_001190274
C16orf80	NM_013242
CDKN1C	NM_000076
NBEAL1	NM_001114132
CT45A5	NM_001007551
SIKE1	NM_001102396
MPST	NM_021126
FGF13	NM_001139500
NOP14	NM_003703
SLC25A3	NM_005888
PHB	NM_002634
GDA	NM_001242505
TRMT112	NM_016404
PCDHGA11	NM_018914
SNCG	NM_003087
ZNF821	NM_001201552
MYO1B	NM_001130158
MUTYH	NM_001128425
POLE2	NM_002692
TGOLN2	NM_001206841
LGI1	NM_005097
F2RL1	NM_005242
ETV3	NM_001145312
ETS1	NM_001143820
ERCC4	NM_005236
ERBB4	NM_005235
LEPREL4	NM_006455
MXD4	NM_006454
TBL3	NM_006453
HMGCLL1	NM_019036
CEP170	NM_014812
SLC39A3	NM_144564
CNN2	NM_004368
NRP2	NM_201266
CASP8AP2	NM_012115
LYPD6	NM_194317
DHFRL1	NM_176815
ZNF81	NM_007137
ATOH7	NM_145178
CREG2	NM_153836
DCST2	NM_144622
NUP155	NM_153485
SDR42E1	NM_145168
ZBTB47	NM_145166
CHURC1	NM_145165
KIAA0040	NM_014656
STRADA	NM_001003787
BTBD9	NM_052893
HES7	NM_001165967
KIAA0226	NM_014687
ZIC4	NM_001168378
CTSL2	NM_001333
HPCAL1	NM_002149
EPB49	NM_001978
GOLGA1	NM_002077
TNK1	NM_001251902
SLC13A2	NM_001145975
MEF2BNB	NM_001145784
CRHR1	NM_001145146
TNPO2	NM_001136196
PTPN13	NM_080685
SLC39A1	NM_014437
KAZN	NM_201628
P2RY10	NM_014499
CACNB2	NM_201596
PPHLN1	NM_016488
TCEA1	NM_006756
DFNA5	NM_004403
MLH1	NM_000249
MAP3K4	NM_005922
TLE2	NM_003260
CLDN11	NM_005602
SUCLA2	NM_003850
CMPK1	NM_016308
DDX46	NM_014829
PPP5C	NM_006247
ZNF83	NM_018300
SYBU	NM_001099744
PCID2	NM_001258212
ZNF219	NM_016423
CCHCR1	NM_001105564
EIF2B1	NM_001414
SGOL2	NM_152524
PPP6R3	NM_001164160
UTP14A	NM_006649
TMEM173	NM_198282
ZPBP2	NM_199321
AKIP1	NM_020642
EXT2	NM_000401
C2CD2	NM_015500
LCN6	NM_198946
ATP6V1H	NM_015941
LIG4	NM_002312
TCF12	NM_207036
EYS	NM_001142800
RFX4	NM_001206691
ASTN2	NM_014010
APP	NM_000484
GHR	NM_001242399
BCL2L11	NM_138621
KATNA1	NM_007044
SLC25A27	NM_004277
CPEB3	NM_014912
TAC3	NM_013251
ZNF214	NM_013249
HTRA2	NM_013247
MIS18BP1	NM_018353
TMA16	NM_018352
SLC9A3R2	NM_001130012
ZNF638	NM_014497
PTPRJ	NM_002843
C18orf63	NM_001174123
HMBS	NM_000190
PDCD2	NM_002598
LEFTY1	NM_020997
C4orf19	NM_018302
CD209	NM_021155
FAM188A	NM_024948
EXOC2	NM_018303
FAM192A	NM_024946
TNIP3	NM_001244764
DOK3	NM_024872
L2HGDH	NM_024884
SLC35E1	NM_024881
PUS3	NM_031307
MON1A	NM_032355
CLK3	NM_001130028
FAM60A	NM_021238
RPL28	NM_001136135
LRRFIP1	NM_001137552
KCNN3	NM_001204087
PFKP	NM_002627
WIPI2	NM_015610
NTRK2	NM_006180
MROH1	NM_032450
RAB10	NM_016131
CPA4	NM_016352
CETN1	NM_004066
POU2F1	NM_002697
MSR1	NM_138715
MSN	NM_002444
OSGIN2	NM_001126111
TRIP6	NM_003302
TPP2	NM_003291
GPR137B	NM_003272
DUT	NM_001025248
BICC1	NM_001080512
ANKRD12	NM_015208
PCK2	NM_004563
C2orf71	NM_001029883
SFMBT2	NM_001018039
BCOR	NM_001123385
C1orf228	NM_001145636
RHOBTB2	NM_001160036
TGFBR2	NM_001024847
TGM4	NM_003241
IMPDH1	NM_000883
RBMXL3	NM_001145346
DIAPH3	NM_001042517
SLC7A7	NM_001126105
GRM8	NM_000845
AZI2	NM_022461
AMOT	NM_001113490
ZNF568	NM_198539
C17orf62	NM_001033046
PLEKHB1	NM_021200
ZNF587B	NM_001204818
MAGEA10-MAGEA5	NM_001204811
RBAK-LOC389458	NM_001204513
GIGYF2	NM_001103147
CNTN4	NM_175607
ZNF331	NM_018555
SLC11A2	NM_001174125
FBXO18	NM_032807
ATG9A	NM_024085
OS9	NM_006812
MAPK3	NM_002746
CSNK1G3	NM_001044723
FGF18	NM_003862
PTPRA	NM_002836
MPPED1	NM_001044370
SLA	NM_006748
SLC16A3	NM_004207
ABCE1	NM_002940
UPP2	NM_001135098
DAZAP2	NM_001136266
CYP2U1	NM_183075
IRF2BP2	NM_182972
MBLAC2	NM_203406
DCAF4	NM_015604
ERG	NM_001136154
GIMAP6	NM_001244072
MRPL47	NM_020409
CDH26	NM_177980
HAP1	NM_177977
RAB5C	NM_001252039
PPM1A	NM_177952
ARMCX3	NM_016607
USP45	NM_001080481
SCARB1	NM_005505
SLC35G2	NM_025246
LIMCH1	NM_014988
ASAH2	NM_019893
TIMM22	NM_013337
SEC61A1	NM_013336
GMPPB	NM_013334
EPN1	NM_001130071
WSB1	NM_015626
KHNYN	NM_015299
GABRR1	NM_002042
ZCRB1	NM_033114
RRP36	NM_033112
N4BP2L2	NM_033111
GTF2I	NM_032999
ZNF300	NM_001172831
FAR1	NM_032228
HOGA1	NM_138413
HS2ST1	NM_012262
GBP5	NM_052942
OTUD5	NM_017602
PTPN3	NM_002829
MAPKAP1	NM_001006617
NOS1	NM_001204218
DDX3X	NM_001356
AK3	NM_016282
SMURF1	NM_020429
GP2	NM_001007240
PUM1	NM_001020658
ADAMTSL4	NM_019032
UTP14C	NM_021645
TSPYL4	NM_021648
GNAS	NM_080425
CCR10	NM_016602
KCNK9	NM_016601
IL23A	NM_016584
H2AFZ	NM_002106
ACSL1	NM_001995
PHF1	NM_024165
SRPK1	NM_003137
LPIN1	NM_001261428
TRIM29	NM_012101
ADAT1	NM_012091
ABCB10	NM_012089
WNT10B	NM_003394
PPP4C	NM_002720
LUZP1	NM_033631
FABP4	NM_001442
EXTL3	NM_001440
FUT5	NM_002034
MLF1IP	NM_024629
GLB1	NM_000404
CHIT1	NM_003465
LRRC8D	NM_018103
SPATS2L	NM_015535
NETO2	NM_018092
ZNF92	NM_152626
ZNF80	NM_007136
ZNF79	NM_007135
RPAP1	NM_015540
SLC17A8	NM_139319
GLIS2	NM_032575
DPY30	NM_032574
STRA13	NM_001271006
GAS2L2	NM_139285
LGI4	NM_139284
SYT8	NM_138567
DMKN	NM_033317
CDC14A	NM_033312
ZWINT	NM_007057
SLC30A2	NM_001004434
KCNK4	NM_033310
B3GNT9	NM_033309
NLRP12	NM_144687
CASP4	NM_001225
CASP1	NM_033292
C4orf3	NM_001170330
ABCG4	NM_022169
BEND4	NM_207406
RNF207	NM_207396
ZNF324B	NM_207395
RGS9BP	NM_207391
FAM211A	NM_001113567
SHISA6	NM_207386
LSM3	NM_014463
ZNF503	NM_032772
TRIM52	NM_032765
PHF5A	NM_032758
ZNF496	NM_032752
ABHD14B	NM_032750
GEMIN6	NM_024775
ZNF160	NM_033288
KNSTRN	NM_033286
TP53INP1	NM_033285
ZYG11B	NM_024646
ZMAT4	NM_024645
CASP8	NM_001080125
CENPL	NM_001127181
WNT3	NM_030753
TCP1	NM_030752
SLC25A22	NM_024698
HSPB1	NM_001540
HOXB1	NM_002144
HPCA	NM_002143
SNRNP70	NM_003089
RAB3B	NM_002867
FGF7	NM_002009
RAB2A	NM_002865
IGFBP7	NM_001553
DARC	NM_001122951
KDSR	NM_002035
DPP4	NM_001935
MDK	NM_002391
SCP2	NM_002979
RNASE10	NM_001012975
CEACAM16	NM_001039213
PHF11	NM_001040443
SYCP2L	NM_001040274
PREPL	NM_006036
NEK1	NM_001199397
PDZK1	NM_002614
GREM1	NM_013372
SAFB	NM_001201338
STBD1	NM_003943
RGS2	NM_002923
ATXN2	NM_002973
CCL16	NM_004590
TROVE2	NM_004600
BCL9	NM_004326
SLC4A2	NM_003040
DYRK3	NM_003582
NSMAF	NM_001144772
RAD54L	NM_003579
SLC33A1	NM_004733
REPS2	NM_004726
TAF15	NM_139215
PDE4B	NM_002600
TSEN34	NM_024075
FEM1C	NM_020177
CCDC15	NM_025004
JAM3	NM_032801
PDCD4	NM_014456
IL19	NM_153758
YEATS4	NM_006530
PDCD6IP	NM_001162429
CACNG3	NM_006539
MRPS16	NM_016065
NCOA2	NM_006540
CTXN3	NM_001048252
BRCC3	NM_024332
ASAP3	NM_017707
BDNF	NM_001143810
KIAA1191	NM_020444
DDX19B	NM_007242
ZNF385B	NM_152520
NIPA2	NM_030922
ZNF473	NM_015428
FAM149A	NM_015398
ALOX15B	NM_001141
PIP5K1A	NM_001135638
SLC26A6	NM_022911
SPECC1	NM_001033553
AMMECR1	NM_015365
MYRF	NM_001127392
CLDND1	NM_001040182
RHBDD2	NM_001040456
INSC	NM_001031853
PC	NM_000920
TC2N	NM_152332
COX11	NM_004375
MBD3	NM_003926
UCN	NM_003353
CHMP1A	NM_001083314
PLRG1	NM_002669
F13B	NM_001994
DAB2	NM_001343
HNRNPF	NM_004966
HTR3A	NM_213621
CSTF3	NM_001326
BAI3	NM_001704
ATP6V0C	NM_001694
GAS6	NM_000820
ATP6V1B1	NM_001692
KRT10	NM_000421
ITGA2B	NM_000419
HTR1D	NM_000864
HTR1B	NM_000863
HSD3B1	NM_000862
HRH1	NM_000861
HPGD	NM_000860
IQCB1	NM_001023570
CIB2	NM_006383
PLAC9	NM_001012973
NDUFAF7	NM_144736
KATNAL1	NM_032116
VASH2	NM_024749
TRAF4	NM_004295
BIN1	NM_139343
SYNGR1	NM_004711
SEMA7A	NM_003612
DNM2	NM_001005360
GNL1	NM_005275
MAP6	NM_033063
RTN4	NM_020532
ZAP70	NM_001079
OR4F17	NM_001005240
OR11H1	NM_001005239
OR51G2	NM_001005238
OR51G1	NM_001005237
SLC9B1	NM_139173
C16orf46	NM_152337
KIAA0586	NM_001244189
BRSK2	NM_001256630
FUOM	NM_001098483
TOM1	NM_001135732
KCTD1	NM_001142730
UMODL1	NM_173568
EPHX4	NM_173567
TTC17	NM_018259
SLMAP	NM_007159
RDH8	NM_015725
CALY	NM_015722
GEMIN4	NM_015721
ELP2	NM_001242875
PTPN18	NM_014369
ARIH2OS	NM_001123040
CYBRD1	NM_024843
LOC100130357	NM_001242698
H2BFM	NM_001164416
ZNF772	NM_001024596
TMEM229A	NM_001136002
C2CD4D	NM_001136003
PHPT1	NM_014172
IPO11	NM_001134779
CFC1	NM_032545
LCOR	NM_032440
PHYHIPL	NM_032439
PKD1L2	NM_001076780
CXCL14	NM_004887
LPPR1	NM_017753
SPATC1L	NM_001142854
PDZD4	NM_032512
C15orf41	NM_001130010
MATN4	NM_003833
PEX11G	NM_080662
UBA1	NM_003334
TNFSF14	NM_003807
HSCB	NM_172002
TEDDM1	NM_172000
KCNMB3	NM_014407
C6orf1	NM_178508
OAF	NM_178507
CADM4	NM_145296
NGFRAP1	NM_014380
SNX33	NM_153271
C20orf96	NM_153269
IP6K1	NM_153273
ARMCX2	NM_014782
ZBTB49	NM_145291
ONECUT1	NM_004498
MAGEL2	NM_019066
SPATA6	NM_019073
SGTB	NM_019072
ZNF432	NM_014650
C22orf26	NM_018280
C7orf43	NM_018275
