No.	Kinase	Group	Family	Subfamily	Gene.Symbol	gene.clean	Description	group.clean
91	FRAP	Atypical	PIKK	FRAP	FRAP1	MTOR	FK506 binding protein 12-rapamycin associated protein 1	PIKK_FRAP
92	SMG1	Atypical	PIKK	SMG1	SMG1	SMG1	PI-3-kinase-related kinase SMG-1	PIKK_SMG1
93	TRRAP	Atypical	PIKK	TRRAP	TRRAP	TRRAP	transformation/transcription domain-associated protein	PIKK_TRRAP
94	RIOK1	Atypical	RIO	RIO1	RIOK1	RIOK1	RIO kinase 1 (yeast)	RIO_RIO1
95	RIOK2	Atypical	RIO	RIO2	RIOK2	RIOK2	RIO kinase 2 (yeast)	RIO_RIO2
96	RIOK3	Atypical	RIO	RIO3	RIOK3	RIOK3	RIO kinase 3 (yeast)	RIO_RIO3
97	TAF1	Atypical	TAF1		TAF1	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	TAF1
98	TAF1L	Atypical	TAF1		TAF1L	TAF1L	TAF1-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa	TAF1
99	TIF1a	Atypical	TIF1		TRIM24	TRIM24	tripartite motif-containing 24	TIF1
100	TIF1b	Atypical	TIF1		TRIM28	TRIM28	tripartite motif-containing 28	TIF1
101	TIF1g	Atypical	TIF1		TRIM33	TRIM33	tripartite motif-containing 33	TIF1
102	CaMK4	CAMK	CAMK1		CAMK4	CAMK4	calcium/calmodulin-dependent protein kinase IV	CAMK1
103	CaMK1a	CAMK	CAMK1		CAMK1	CAMK1	calcium/calmodulin-dependent protein kinase I	CAMK1
104	CaMK1d	CAMK	CAMK1		CAMK1D	CAMK1D	calcium/calmodulin-dependent protein kinase ID	CAMK1
105	CaMK1g	CAMK	CAMK1		CAMK1G	CAMK1G	calcium/calmodulin-dependent protein kinase IG	CAMK1
106	CaMK1b	CAMK	CAMK1		PNCK	PNCK	pregnancy upregulated non-ubiquitously expressed CaM kinase	CAMK1
107	CaMK2a	CAMK	CAMK2		CAMK2A	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	CAMK2
108	CaMK2b	CAMK	CAMK2		CAMK2B	CAMK2B	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	CAMK2
109	CaMK2d	CAMK	CAMK2		CAMK2D	CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	CAMK2
110	CaMK2g	CAMK	CAMK2		CAMK2G	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	CAMK2
111	AMPKa1	CAMK	CAMKL	AMPK	PRKAA1	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit	CAMKL_AMPK
112	AMPKa2	CAMK	CAMKL	AMPK	PRKAA2	PRKAA2	protein kinase, AMP-activated, alpha 2 catalytic subunit	CAMKL_AMPK
113	BRSK2	CAMK	CAMKL	BRSK	BRSK2	BRSK2	BR serine/threonine kinase 2	CAMKL_BRSK
114	BRSK1	CAMK	CAMKL	BRSK	BRSK1	BRSK1	BR serine/threonine kinase 1	CAMKL_BRSK
115	CHK1	CAMK	CAMKL	CHK1	CHEK1	CHEK1	CHK1 checkpoint homolog (S. pombe)	CAMKL_CHK1
116	HUNK	CAMK	CAMKL	HUNK	HUNK	HUNK	hormonally upregulated Neu-associated kinase	CAMKL_HUNK
117	LKB1	CAMK	CAMKL	LKB	STK11	STK11	serine/threonine kinase 11	CAMKL_LKB
118	MARK2	CAMK	CAMKL	MARK	MARK2	MARK2	MAP/microtubule affinity-regulating kinase 2	CAMKL_MARK
119	MARK1	CAMK	CAMKL	MARK	MARK1	MARK1	MAP/microtubule affinity-regulating kinase 1	CAMKL_MARK
120	MARK3	CAMK	CAMKL	MARK	MARK3	MARK3	MAP/microtubule affinity-regulating kinase 3	CAMKL_MARK
121	MARK4	CAMK	CAMKL	MARK	MARK4	MARK4	MAP/microtubule affinity-regulating kinase 4	CAMKL_MARK
122	MELK	CAMK	CAMKL	MELK	MELK	MELK	maternal embryonic leucine zipper kinase	CAMKL_MELK
123	NIM1	CAMK	CAMKL	NIM1	MGC42105	NIM1	hypothetical protein MGC42105	CAMKL_NIM1
124	NuaK1	CAMK	CAMKL	NuaK	NUAK1	NUAK1	NUAK family, SNF1-like kinase, 1	CAMKL_NuaK
125	NuaK2	CAMK	CAMKL	NuaK	NUAK2	NUAK2	NUAK family, SNF1-like kinase, 2	CAMKL_NuaK
126	PASK	CAMK	CAMKL	PASK	PASK	PASK	PAS domain containing serine/threonine kinase	CAMKL_PASK
127	QIK	CAMK	CAMKL	QIK	SNF1LK2	SIK2	SNF1-like kinase 2	CAMKL_QIK
128	QSK	CAMK	CAMKL	QIK	KIAA0999	SIK3	KIAA0999 protein	CAMKL_QIK
129	SIK	CAMK	CAMKL	QIK	SNF1LK	SIK1	SNF1-like kinase	CAMKL_QIK
130	SNRK	CAMK	CAMKL	SNRK	SNRK	SNRK	SNF related kinase	CAMKL_SNRK
131	STK33	CAMK	CAMK-Unique		STK33	STK33	serine/threonine kinase 33	CAMK-Unique
132	VACAMKL	CAMK	CAMK-Unique		CAMKV	CAMKV	CaM kinase-like vesicle-associated	CAMK-Unique
133	CASK	CAMK	CASK		CASK	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	CASK
134	DAPK1	CAMK	DAPK	DAPK	DAPK1	DAPK1	death-associated protein kinase 1	DAPK_DAPK
135	DAPK3	CAMK	DAPK	DAPK	DAPK3	DAPK3	death-associated protein kinase 3	DAPK_DAPK
136	DAPK2	CAMK	DAPK	DAPK	DAPK2	DAPK2	death-associated protein kinase 2	DAPK_DAPK
137	DRAK2	CAMK	DAPK	DRAK	STK17B	STK17B	serine/threonine kinase 17b (apoptosis-inducing)	DAPK_DRAK
138	DRAK1	CAMK	DAPK	DRAK	STK17A	STK17A	serine/threonine kinase 17a (apoptosis-inducing)	DAPK_DRAK
139	DCLK1	CAMK	DCAMKL		DCAMKL1	DCLK1	doublecortin and CaM kinase-like 1	DCAMKL
140	DCLK3	CAMK	DCAMKL		DCAMKL3	DCLK3	doublecortin and CaM kinase-like 3	DCAMKL
141	DCLK2	CAMK	DCAMKL		DCAMKL2	DCLK2	doublecortin and CaM kinase-like 2	DCAMKL
142	MAPKAPK3	CAMK	MAPKAPK	MAPKAPK	MAPKAPK3	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	MAPKAPK_MAPKAPK
143	MAPKAPK5	CAMK	MAPKAPK	MAPKAPK	MAPKAPK5	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5	MAPKAPK_MAPKAPK
144	MAPKAPK2	CAMK	MAPKAPK	MAPKAPK	MAPKAPK2	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	MAPKAPK_MAPKAPK
145	MNK2	CAMK	MAPKAPK	MNK	MKNK2	MKNK2	MAP kinase interacting serine/threonine kinase 2	MAPKAPK_MNK
146	MNK1	CAMK	MAPKAPK	MNK	MKNK1	MKNK1	MAP kinase interacting serine/threonine kinase 1	MAPKAPK_MNK
147	smMLCK	CAMK	MLCK		MYLK	MYLK	myosin, light chain kinase	MLCK
148	TTN	CAMK	MLCK		TTN	TTN	titin	MLCK
149	skMLCK	CAMK	MLCK		MYLK2	MYLK2	myosin light chain kinase 2, skeletal muscle	MLCK
150	caMLCK	CAMK	MLCK		MLCK	MYLK3	MLCK protein	MLCK
151	SgK085	CAMK	MLCK		RP11-145H9.1	MYLK4	hypothetical protein LOC340156	MLCK
152	PHKg1	CAMK	PHK		PHKG1	PHKG1	phosphorylase kinase, gamma 1 (muscle)	PHK
153	PHKg2	CAMK	PHK		PHKG2	PHKG2	phosphorylase kinase, gamma 2 (testis)	PHK
154	PIM1	CAMK	PIM		PIM1	PIM1	pim-1 oncogene	PIM
155	PIM2	CAMK	PIM		PIM2	PIM2	pim-2 oncogene	PIM
156	PIM3	CAMK	PIM		PIM3	PIM3	pim-3 oncogene	PIM
157	PKD1	CAMK	PKD		PRKD1	PRKD1	protein kinase D1	PKD
158	PKD3	CAMK	PKD		PRKD3	PRKD3	protein kinase D3	PKD
159	PKD2	CAMK	PKD		PRKD2	PRKD2	protein kinase D2	PKD
160	PSKH1	CAMK	PSK		PSKH1	PSKH1	protein serine kinase H1	PSK
161	PSKH2	CAMK	PSK		PSKH2	PSKH2	protein serine kinase H2	PSK
162	CHK2	CAMK	RAD53		CHEK2	CHEK2	CHK2 checkpoint homolog (S. pombe)	RAD53
163	SgK495	CAMK	SgK495		STK40	STK40	serine/threonine kinase 40	SgK495
164	Trb1	CAMK	Trbl		TRIB1	TRIB1	tribbles homolog 1 (Drosophila)	Trbl
165	Trb2	CAMK	Trbl		TRIB2	TRIB2	tribbles homolog 2 (Drosophila)	Trbl
166	Trb3	CAMK	Trbl		TRIB3	TRIB3	tribbles homolog 3 (Drosophila)	Trbl
167	Obscn	CAMK	Trio		OBSCN	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	Trio
168	SPEG	CAMK	Trio		LOC729871	SPEG	similar to aortic preferentially expressed gene 1	Trio
169	Trio	CAMK	Trio		TRIO	TRIO	triple functional domain (PTPRF interacting)	Trio
170	Trad	CAMK	Trio		KALRN	KALRN	kalirin, RhoGEF kinase	Trio
171	TSSK2	CAMK	TSSK		TSSK2	TSSK2	testis-specific serine kinase 2	TSSK
172	TSSK3	CAMK	TSSK		TSSK3	TSSK3	testis-specific serine kinase 3	TSSK
173	TSSK1	CAMK	TSSK		TSSK1B	TSSK1B	testis-specific serine kinase 1B	TSSK
174	SSTK	CAMK	TSSK		TSSK6	TSSK6	testis-specific serine kinase 6	TSSK
175	TSSK4	CAMK	TSSK		TSSK4	TSSK4	testis-specific serine kinase 4	TSSK
176	CK1a	CK1	CK1	CK1-A	CSNK1A1	CSNK1A1	casein kinase 1, alpha 1	CK1_CK1-A
177	CK1a2	CK1	CK1	CK1-A	CSNK1A1L	CSNK1A1L	casein kinase 1, alpha 1-like	CK1_CK1-A
178	CK1d	CK1	CK1	CK1-D	CSNK1D	CSNK1D	casein kinase 1, delta	CK1_CK1-D
179	CK1e	CK1	CK1	CK1-D	CSNK1E	CSNK1E	casein kinase 1, epsilon	CK1_CK1-D
180	CK1g2	CK1	CK1	CK1-G	CSNK1G2	CSNK1G2	casein kinase 1, gamma 2	CK1_CK1-G
181	CK1g3	CK1	CK1	CK1-G	CSNK1G3	CSNK1G3	casein kinase 1, gamma 3	CK1_CK1-G
182	CK1g1	CK1	CK1	CK1-G	CSNK1G1	CSNK1G1	casein kinase 1, gamma 1	CK1_CK1-G
183	TTBK1	CK1	TTBK		TTBK1	TTBK1	tau tubulin kinase 1	TTBK
184	TTBK2	CK1	TTBK		TTBK2	TTBK2	tau tubulin kinase 2	TTBK
185	VRK1	CK1	VRK		VRK1	VRK1	vaccinia related kinase 1	VRK
186	VRK2	CK1	VRK		VRK2	VRK2	vaccinia related kinase 2	VRK
187	VRK3	CK1	VRK		VRK3	VRK3	vaccinia related kinase 3	VRK
188	CCRK	CMGC	CDK	CCRK	CCRK	CDK20	cell cycle related kinase	CDK_CCRK
189	CDC2	CMGC	CDK	CDC2	CDC2	CDK1	cell division cycle 2, G1 to S and G2 to M	CDK_CDC2
190	CDK2	CMGC	CDK	CDC2	CDK2	CDK2	cyclin-dependent kinase 2	CDK_CDC2
191	CDK3	CMGC	CDK	CDC2	CDK3	CDK3	cyclin-dependent kinase 3	CDK_CDC2
192	CDK10	CMGC	CDK	CDK10	CDK10	CDK10	cyclin-dependent kinase (CDC2-like) 10	CDK_CDK10
193	CDK4	CMGC	CDK	CDK4	CDK4	CDK4	cyclin-dependent kinase 4	CDK_CDK4
194	CDK6	CMGC	CDK	CDK4	CDK6	CDK6	cyclin-dependent kinase 6	CDK_CDK4
195	CDK5	CMGC	CDK	CDK5	CDK5	CDK5	cyclin-dependent kinase 5	CDK_CDK5
196	CDK7	CMGC	CDK	CDK7	CDK7	CDK7	cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)	CDK_CDK7
197	CDK8	CMGC	CDK	CDK8	CDK8	CDK8	cyclin-dependent kinase 8	CDK_CDK8
198	CDK11	CMGC	CDK	CDK8	CDC2L6	CDK19	cell division cycle 2-like 6 (CDK8-like)	CDK_CDK8
199	CDK9	CMGC	CDK	CDK9	CDK9	CDK9	cyclin-dependent kinase 9 (CDC2-related kinase)	CDK_CDK9
200	CHED	CMGC	CDK	CRK7	CDC2L5	CDK13	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	CDK_CRK7
201	CRK7	CMGC	CDK	CRK7	CRKRS	CDK12	Cdc2-related kinase, arginine/serine-rich	CDK_CRK7
202	PCTAIRE1	CMGC	CDK	PCTAIRE	PCTK1	CDK16	PCTAIRE protein kinase 1	CDK_PCTAIRE
203	PCTAIRE2	CMGC	CDK	PCTAIRE	PCTK2	CDK17	PCTAIRE protein kinase 2	CDK_PCTAIRE
204	PCTAIRE3	CMGC	CDK	PCTAIRE	PCTK3	CDK18	PCTAIRE protein kinase 3	CDK_PCTAIRE
205	PFTAIRE1	CMGC	CDK	PFTAIRE	PFTK1	CDK14	PFTAIRE protein kinase 1	CDK_PFTAIRE
206	PFTAIRE2	CMGC	CDK	PFTAIRE	ALS2CR7	CDK15	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 7	CDK_PFTAIRE
207	PITSLRE	CMGC	CDK	PITSLRE	CDC2L2	CDK11A	cell division cycle 2-like 2 (PITSLRE proteins)	CDK_PITSLRE
207	PITSLRE	CMGC	CDK	PITSLRE	CDC2L2	CDK11B	cell division cycle 2-like 2 (PITSLRE proteins)	CDK_PITSLRE
208	CDKL5	CMGC	CDKL		CDKL5	CDKL5	cyclin-dependent kinase-like 5	CDKL
209	CDKL1	CMGC	CDKL		CDKL1	CDKL1	cyclin-dependent kinase-like 1 (CDC2-related kinase)	CDKL
210	CDKL2	CMGC	CDKL		CDKL2	CDKL2	cyclin-dependent kinase-like 2 (CDC2-related kinase)	CDKL
211	CDKL3	CMGC	CDKL		CDKL3	CDKL3	cyclin-dependent kinase-like 3	CDKL
212	CDKL4	CMGC	CDKL		CDKL4	CDKL4	cyclin-dependent kinase-like 4	CDKL
213	CK2a1	CMGC	CK2		CSNK2A1	CSNK2A1	casein kinase 2, alpha 1 polypeptide	CK2
214	CK2a2	CMGC	CK2		CSNK2A2	CSNK2A2	casein kinase 2, alpha prime polypeptide	CK2
215	CLK1	CMGC	CLK		CLK1	CLK1	CDC-like kinase 1	CLK
216	CLK2	CMGC	CLK		CLK2	CLK2	CDC-like kinase 2	CLK
217	CLK3	CMGC	CLK		CLK3	CLK3	CDC-like kinase 3	CLK
218	CLK4	CMGC	CLK		CLK4	CLK4	CDC-like kinase 4	CLK
219	DYRK1A	CMGC	DYRK	DYRK1	DYRK1A	DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	DYRK_DYRK1
220	DYRK1B	CMGC	DYRK	DYRK1	DYRK1B	DYRK1B	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B	DYRK_DYRK1
221	DYRK3	CMGC	DYRK	DYRK2	DYRK3	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	DYRK_DYRK2
222	DYRK2	CMGC	DYRK	DYRK2	DYRK2	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	DYRK_DYRK2
223	DYRK4	CMGC	DYRK	DYRK2	DYRK4	DYRK4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	DYRK_DYRK2
224	HIPK3	CMGC	DYRK	HIPK	HIPK3	HIPK3	homeodomain interacting protein kinase 3	DYRK_HIPK
225	HIPK2	CMGC	DYRK	HIPK	HIPK2	HIPK2	homeodomain interacting protein kinase 2	DYRK_HIPK
226	HIPK4	CMGC	DYRK	HIPK	HIPK4	HIPK4	homeodomain interacting protein kinase 4	DYRK_HIPK
227	HIPK1	CMGC	DYRK	HIPK	HIPK1	HIPK1	homeodomain interacting protein kinase 1	DYRK_HIPK
228	PRP4	CMGC	DYRK	PRP4	PRPF4B	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	DYRK_PRP4
229	GSK3A	CMGC	GSK		GSK3A	GSK3A	glycogen synthase kinase 3 alpha	GSK
230	GSK3B	CMGC	GSK		GSK3B	GSK3B	glycogen synthase kinase 3 beta	GSK
231	Erk2(MAPK1)	CMGC	MAPK	ERK1	MAPK1	MAPK1	mitogen-activated protein kinase 1	MAPK_ERK1
232	Erk1(MAPK3)	CMGC	MAPK	ERK1	MAPK3	MAPK3	mitogen-activated protein kinase 3	MAPK_ERK1
233	Erk4(MAPK4)	CMGC	MAPK	ERK3	MAPK4	MAPK4	mitogen-activated protein kinase 4	MAPK_ERK3
234	Erk3(MAPK6)	CMGC	MAPK	ERK3	MAPK6	MAPK6	mitogen-activated protein kinase 6	MAPK_ERK3
235	Erk5(MAPK7)	CMGC	MAPK	ERK5	MAPK7	MAPK7	mitogen-activated protein kinase 7	MAPK_ERK5
236	Erk7(MAPK15)	CMGC	MAPK	ERK7	MAPK15	MAPK15	mitogen-activated protein kinase 15	MAPK_ERK7
237	JNK1(MAPK8)	CMGC	MAPK	JNK	MAPK8	MAPK8	mitogen-activated protein kinase 8	MAPK_JNK
238	JNK2(MAPK9)	CMGC	MAPK	JNK	MAPK9	MAPK9	mitogen-activated protein kinase 9	MAPK_JNK
239	JNK3(MAPK10)	CMGC	MAPK	JNK	MAPK10	MAPK10	mitogen-activated protein kinase 10	MAPK_JNK
240	NLK	CMGC	MAPK	nmo	NLK	NLK	nemo-like kinase	MAPK_nmo
