refseq	name
NM_001006944	RPS6KA4
NM_001130067	TRIM2
NM_001040168	LFNG
NM_001040167	LFNG
NM_001079855	GYG2
NM_001080851	DMRTC1B
NM_001080851	DMRTC1B
NM_001080849	DNLZ
NM_001164404	GOLGA6C
NM_001164389	RAPGEF6
NM_001146039	GORAB
NM_001145938	MMP1
NM_001177642	DAG1
NM_001168412	TSPAN3
NM_001029883	C2orf71
NM_001029881	CIB4
NM_001080456	ZSCAN5B
NM_001079526	IKZF2
NM_001079525	PAICS
NM_001037671	C12orf74
NM_001079524	PAICS
NM_032184	SYDE2
NM_001164162	PPP6R3
NM_001025089	CELF4
NM_001031835	PHKB
NM_001031827	BOLA2
NM_001031827	BOLA2
NM_001031812	CSNK1G3
NM_001031809	MS4A3
NM_001077471	NR1I3
NM_001031803	LLGL2
NM_001031801	LIMK2
NM_001077186	MYH14
NM_001040214	NKAIN2
NM_001039211	ATAD3C
NM_001040199	CLDND1
NM_001039210	ALG13
NM_001039199	TTPAL
NM_001040197	AGTRAP
NM_001040196	AGTRAP
NM_001040195	AGTRAP
NM_001040194	AGTRAP
NM_001040202	PAQR3
NM_001040200	CLDND1
NM_001040185	ZNF765
NM_005672	PSCA
NM_005671	UBXN8
NM_006015	ARID1A
NM_005670	EPM2A
NM_005668	ST8SIA4
NM_005667	RNF103
NM_001025096	PSMA8
NM_005663	NELFA
NM_005662	VDAC3
NM_005659	UFD1L
NM_005660	SLC35A2
NM_080476	PIGU
NM_058166	TRIM6
NM_058165	MOGAT1
NM_058164	OLFM2
NM_005992	TBX1
NM_001144983	CCDC169
NM_001145082	ZNF619
NM_001144982	CCDC169
NM_001144981	CCDC169
NM_001164738	CALCR
NM_001145079	COG6
NM_001144978	MTHFD2L
NM_001145078	ZNF805
NM_001145076	EML4
NM_001198756	GNGT2
NM_001889	CRYZ
NM_001228	CASP8
NM_001888	CRYM
NM_001886	CRYBA4
NM_001885	CRYAB
NM_001875	CPS1
NM_001222	CAMK2G
NM_001221	CAMK2D
NM_001220	CAMK2B
NM_001219	CALU
NM_001218	CA12
NM_001145077	LRRC10B
NM_001042618	PARP2
NM_001097639	FUT3
NM_001097638	FUT2
NM_001083947	TMPRSS4
NM_001083946	NDUFAF7
NM_001083926	ASRGL1
NM_001083924	C1orf116
NM_001127586	ING4
NM_001127585	ING4
NM_001099408	EIF4E1B
NM_001129840	CACNA1C
NM_001164415	HSFX2
NM_001142423	MORF4L2
NM_001142422	MORF4L2
NM_001142421	MORF4L2
NM_001145160	TPM4
NM_001145110	NELL2
NM_001145098	SKIL
NM_001146115	DIP2A
NM_001199834	VCAM1
NM_001199830	HPSE
NM_000425	L1CAM
NM_000424	KRT5
NM_015874	RBPJ
NM_001098169	BSX
NM_001102594	DTX2
NM_015347	RIMBP2
NM_001184833	ADGRG2
NM_001198853	CYP2C8
NM_001569	IRAK1
NM_000963	PTGS2
NM_001837	CCR3
NM_001164752	ASPH
NM_001145166	PRMT3
NM_001145165	DOHH
NM_001199917	PGM3
NM_001190972	C8orf88
NM_001190971	PIWIL1
NM_001282488	PRIM2
NM_020653	ZNF287
NM_020652	ZNF286A
NM_023085	CAPN10
NM_023083	CAPN10
NM_001080139	CT47A8
NM_173648	CCDC141
NM_173619	CLEC18C
NM_004451	ESRRA
NM_005333	HCCS
NM_004450	ERH
NM_004448	ERBB2
NM_004447	EPS8
NM_004446	EPRS
NM_001242559	MAP4K4
NM_020144	PAPOLB
NM_018999	CCSER2
NM_018584	CAMK2N1
NM_018571	STRADB
NM_018569	AP1AR
NM_018566	YOD1
NM_018565	SERINC2
NM_005303	FFAR1
NM_001297666	TTC39A
NM_001297697	CCDC125
NM_001042678	RHOC
NM_001098818	PDE4C
NM_001085411	NADK2
NM_001085399	RELL1
NM_001085401	C6orf201
NM_145796	POGZ
NM_145806	ZNF511
NM_145805	ISL2
NM_145804	ABTB2
NM_145793	GFRA1
NM_145803	TRAF6
NM_001136123	SLF2
NM_001136110	CASP5
NM_001145365	ZNF652
NM_001145364	ABHD11
NM_001145358	SIN3A
NM_001145357	SIN3A
NM_001145356	CBWD1
NM_001145355	CBWD1
NM_001146006	IGFALS
NM_001145819	SOX6
NM_001145353	ELF1
NM_001145349	IPP
NM_005893	CCIN
NM_002723	PRB4
NM_001164181	ENTPD1
NM_001164179	ENTPD1
NM_001164178	ENTPD1
NM_001164165	GPR75-ASB3
NM_001146108	PTGR1
NM_001145998	SLC15A2
NM_001134773	STX16
NM_001143999	SEC14L1
NM_001142270	DHRS9
NM_001136225	RCOR3
NM_001136224	RCOR3
NM_001136223	RCOR3
NM_001136219	FCGR2A
NM_001136218	TMEM51
NM_001136217	TMEM51
NM_001136216	TMEM51
NM_001136215	ARTN
NM_007080	LSM6
NM_006890	CEACAM7
NM_005997	VPS72
NM_004678	BPY2
NM_004678	BPY2
NM_004676	PRY
NM_004676	PRY
NM_004674	ASH2L
NM_004672	MAP3K6
NM_005092	TNFSF18
NM_005100	AKAP12
NM_004670	PAPSS2
NM_001185177	CES3
NM_001373	DNAH14
NM_001033566	RHOT1
NM_001039724	NOSTRIN
NM_001083592	ROR1
NM_001040716	PC
NM_001001581	PDE9A
NM_001038640	GOLGA6A
NM_001005374	LRSAM1
NM_001319	CSNK1G2
NM_002014	FKBP4
NM_001316	CSE1L
NM_001315	MAPK14
NM_006732	FOSB
NM_173791	PDZD8
NM_173800	LVRN
NM_001206843	GSG1
NM_182916	TRNT1
NM_018534	NRP2
NM_000565	IL6R
NM_199243	GPR150
NM_001012455	ZSCAN23
NM_001037498	DEFB112
NM_001037497	DEFB110
NM_001037500	DEFB124
NM_001012428	ASB11
NM_001014435	CA7
NM_001017915	INPP5D
NM_001130446	C10orf131
NM_001130445	SSFA2
NM_001130442	HRAS
NM_001130440	SRP9
NM_001130438	SPTAN1
NM_001144822	CD58
NM_001204478	TVP23C-CDRT4
NM_001278403	LILRB2
NM_017662	TRPM6
NM_001007269	GEMIN7
NM_001007250	SCP2
NM_134470	IL1RAP
NM_022059	CXCL16
NM_001123392	TBC1D3H
NM_001098529	TXNDC2
NM_000513	OPN1MW
NM_001135109	RIC3
NM_024911	WLS
NM_024909	ATAT1
NM_012196	GAGE8
NM_153362	PRSS35
NM_153261	CNEP1R1
NM_153259	MCOLN2
NM_153260	LRRC57
NM_174895	PCP2
NM_173355	UPP2
NM_153256	PROSER2
NM_001308362	ADGRG7
NM_001270771	SORBS2
NM_000871	HTR6
NM_000869	HTR3A
NM_001162491	ARL13A
NM_001130168	PSG8
NM_001130167	PSG8
NM_001130158	MYO1B
NM_203415	ELP5
NM_002297	LCN1
NM_133335	WHSC1
NM_001282953	PRMT5
NM_001283052	ICOSLG
NM_001300832	FRMD8
NM_001300838	CIART
NM_001300797	RAN
NM_001300808	BATF2
NM_001300798	SEPT8
NM_001300799	SEPT8
NM_001300810	KRT85
NM_001300812	FGF22
NM_001300813	SEC24B
NM_001300814	KRT78
NM_001300815	CIRBP
NM_172213	CD8B
NM_172212	CSF1
NM_172210	CSF1
NM_172209	TAPBP
NM_001206627	TRIM49D1
NM_033170	B3GALT5
NM_032828	ZNF587
NM_032827	ATOH8
NM_032826	SLC35B4
NM_032825	ZNF382
NM_032824	TMEM87B
NM_001080139	CT47A8
NM_001080139	CT47A8
NM_001080139	CT47A8
NM_001080139	CT47A8
NM_001080139	CT47A8
NM_001080139	CT47A8
NM_015602	TOR1AIP1
NM_015601	HERC4
NM_001002269	EXOSC3
NM_001002264	EPSTI1
NM_001001660	LYRM5
NM_001005366	KDM2B
NM_133477	SYNPO2
NM_133476	ZNF384
NM_133475	ANKRD24
NM_133474	ZNF721
NM_133473	ZNF431
NM_138342	GLB1L2
NM_138344	FAM181A
NM_138362	FAM104B
NM_138385	TMEM129
NM_133466	ZFP82
NM_133465	KIAA1958
NM_133464	ZNF483
NM_133463	AMZ1
NM_133462	TTC14
NM_020897	HCN3
NM_021729	VPS11
NM_021724	NR1D1
NM_019896	POLE4
NM_021705	NFYA
NM_020905	RDH14
NM_019895	CLDND1
NM_001306131	FN1
NM_001289413	EHMT2
NM_001290226	MAST4
NM_001290225	PTDSS1
NM_001290264	SLC35E2B
NM_001290217	RARB
NM_001042417	RUFY2
NM_001042416	ZNF596
NM_001042415	ZNF596
NM_001042414	PSPC1
NM_001042413	GLIS3
NM_001076785	SLC7A6
NM_001042399	CEP83
NM_001472	GAGE2C
NM_001472	GAGE2C
NM_001472	GAGE2C
NM_001469	XRCC6
NM_001040875	GDAP1
NM_020754	ARHGAP31
NM_021642	FCGR2A
NM_021831	AGBL5
NM_021830	C10orf2
NM_021828	HPSE2
NM_021827	CCDC81
NM_021826	FASTKD5
NM_021825	CCDC90B
NM_012411	PTPN22
NM_177538	CYP20A1
NM_002761	PRM1
NM_002826	QSOX1
NM_014377	DNAJC2
NM_001184835	ADGRG2
NM_000422	KRT17
NM_000398	CYB5R3
NM_000347	SPTB
NM_001142398	FAHD1
NM_001167959	TMEM178A
NM_001199383	RNF145
NM_002968	SALL1
NM_001198973	KIAA1522
NM_001198916	PPFIBP1
NM_000107	DDB2
NM_001199096	BAIAP3
NM_001146335	SLC6A15
NM_001184975	PACSIN3
NM_001204067	ANKS1B
NM_001204066	ANKS1B
NM_001199183	ATP2C1
NM_001847	COL4A6
NM_001114636	FANCL
NM_001080423	GRIP2
NM_001085462	CTNND1
NM_001039938	INTS6
NM_001039937	INTS6
NM_001080510	METTL23
NM_001080509	TSPAN11
NM_001306144	MTMR1
NM_014777	URB2
NM_016594	FKBP11
NM_015662	IFT172
NM_015659	RSL1D1
NM_015660	GIMAP2
NM_001042496	SLC12A6
NM_015127	CLCC1
NM_018168	C14orf105
NM_018167	BTBD7
NM_018166	EVA1B
NM_018164	ASUN
NM_001004313	TMEM220
NM_001004310	FCRL6
NM_001082970	C11orf57
NM_001113434	C17orf51
NM_001113411	FGGY
NM_001113410	PSG11
NM_001113407	LDB1
NM_001110360	RNASE9
NM_001122964	PPP4R3B
NM_001122951	ACKR1
NM_001122870	PPM1M
NM_001122823	GTF3C5
NM_207102	FBXW12
NM_005558	LAD1
NM_176895	PLPP1
NM_176880	NR2C2AP
NM_001190452	MTRNR2L1
NM_001080146	CT47A1
NM_001080145	CT47A2
NM_001080145	CT47A2
NM_001080145	CT47A2
NM_001080145	CT47A2
NM_001109903	RNFT2
NM_001109891	MAPK3
NM_001010904	GLYATL3
NM_001109878	TBX22
NM_001099858	C7orf25
NM_001099857	IKBKG
NM_001099856	IKBKG
NM_033342	TRIM7
NM_052814	CARD9
NM_052813	CARD9
NM_033337	CAV3
NM_033553	GUCA2A
NM_033331	CDC14B
NM_001024372	BAALC
NM_001206984	METTL23
NM_001135669	XPR1
NM_001135670	MSRA
NM_006902	PRRX1
NM_006892	DNMT3B
NM_006891	CRYGD
NM_006901	MYO9A
NM_001098800	MAGED4
NM_001098787	BET1L
NM_001098786	HILPDA
NM_001098783	RPP14
NM_001098728	GTF2H2C
NM_001177428	TRPV4
NM_001177413	RPS27A
NM_016945	TAS2R16
NM_001267066	PLEKHB2
NM_001267065	PLEKHB2
NM_014707	HDAC9
NM_183232	IKZF3
NM_183231	IKZF3
NM_183230	IKZF3
NM_183229	IKZF3
NM_183227	RAB23
NM_001286722	FAM120A
NM_182985	TRIM69
NM_182984	TRMT2A
NM_182982	GRK4
NM_182981	OSGIN1
NM_183079	PRNP
NM_183078	RNF8
NM_182978	GNAL
NM_182977	NNT
NM_182976	ZNF326
NM_001301098	ZBTB44
NM_175747	OLIG3
NM_005047	PSMD5
NM_004160	PYY
NM_004158	PSPN
NM_004600	TROVE2
NM_012316	KPNA6
NM_017588	WDR5
NM_017586	CACFD1
NM_017585	SLC2A6
NM_017584	MIOX
NM_017583	TRIM44
NM_017780	CHD7
NM_017579	DMBT1
NM_001128172	PAK3
NM_001164440	ANKRD33B
NM_001164436	TMEM212
NM_001172439	ENDOU
NM_001167582	RBM6
NM_033400	ZFHX2
NM_001190716	DNM2
NM_001256859	USP17L18
NM_001256859	USP17L18
NM_001290319	ZNF304
NM_001290314	ZNF571
NM_001289808	CRYAB
NM_001289807	CRYAB
NM_001289698	ARHGEF3
NM_001080143	CT47A4
NM_001306090	EVC
NM_001024683	ZNF688
NM_001024680	FBXO48
NM_001024678	LRRC24
NM_001024674	LIN52
NM_001170696	SPATA22
NM_001201478	EIF2D
NM_001201477	NETO2
NM_001193331	C9orf3
NM_001193329	C9orf3
NM_001193328	ZNF692
NM_001204467	RBM10
NM_001193318	RNF212
NM_001193317	VIPAS39
NM_001193316	VIPAS39
NM_000837	GRINA
NM_153326	AKR1A1
NM_153464	ILF3
NM_153322	PMP22
NM_153321	PMP22
NM_153320	SLC22A7
NM_153285	HYAL1
NM_153283	HYAL1
NM_153282	HYAL1
NM_153281	HYAL1
NM_153280	UBA1
NM_153278	SLC22A6
NM_153277	SLC22A6
NM_153276	SLC22A6
NM_153274	BEST4
NM_005306	FFAR2
NM_001142685	ARHGAP32
NM_001146706	KDM5D
NM_001001712	LCN10
NM_001030287	ATF3
NM_001042664	PLEKHG5
NM_017436	A4GALT
NM_017434	DUOX1
NM_017433	MYO3A
NM_017432	PTOV1
NM_017431	PRKAG3
NM_001105515	ABCC4
NM_001080400	PLIN4
NM_001080407	GLB1L3
NM_001080855	PXN
NM_001270469	SOCS2
NM_001270470	SOCS2
NM_001204811	MAGEA10-MAGEA5
NM_001204798	KCNH2
NM_001204803	ANO6
NM_001199215	CD200R1L
NM_001199198	TBC1D23
NM_001199135	TANK
NM_001204746	CDH16
NM_001204745	CDH16
NM_001204744	CDH16
NM_001204698	TAX1BP3
NM_001204527	SSR4
NM_001204526	SSR4
NM_001204520	P2RX5
NM_000627	LTBP1
NM_001131	CRISP1
NM_000625	NOS2
NM_000624	SERPINA5
NM_000623	BDKRB2
NM_015985	ANGPT4
NM_016334	GPR89B
NM_017679	BCAS3
NM_017691	LRRC49
NM_017688	BSPRY
NM_017686	GDAP2
NM_017684	VPS13C
NM_002870	RAB13
NM_022978	SERF1B
NM_001242936	FAM47E
NM_001242935	SNCAIP
NM_022917	NOL6
NM_005380	NBL1
NM_001002836	ZNF787
NM_001020819	MYADM
NM_001105549	ZNF83
NM_003355	UCP2
NM_003353	UCN
NM_003352	SUMO1
NM_003821	RIPK2
NM_006311	NCOR1
NM_181353	ID1
NM_006858	TMED1
NM_006856	ATF7
NM_006855	KDELR3
NM_006854	KDELR2
NM_007200	AKAP13
NM_006851	GLIPR1
NM_006850	IL24
NM_012088	PGLS
NM_007158	CSDE1
NM_006845	KIF2C
NM_176798	P2RY6
NM_176797	P2RY6
NM_175077	SLA2
NM_174976	ZDHHC22
NM_175075	TDRP
NM_176796	P2RY6
NM_176072	P2RY2
NM_175073	APTX
NM_174971	ST3GAL3
NM_175069	APTX
NM_174970	ST3GAL3
NM_174969	ST3GAL3
NM_175068	KRT73
NM_001130523	CSDE1
NM_012196	GAGE8
NM_001164664	MAST4
NM_001164647	SFTPA1
NM_005934	MLLT1
NM_014977	ACIN1
NM_015076	CDK19
NM_003042	SLC6A1
NM_003811	TNFSF9
NM_006080	SEMA3A
NM_006437	PARP4
NM_005979	S100A13
NM_005980	S100P
NM_006078	CACNG2
NM_005978	S100A2
NM_006077	MICU1
NM_152723	CCDC89
NM_001042426	CENPA
NM_001282681	GAPVD1
NM_033132	ZIC5
NM_033294	CASP1
NM_001145440	TYW1B
NM_001257400	CD63
NM_001257390	CD63
NM_001286957	CCDC65
NM_001025200	CTRB2
NM_001025160	ADGRE5
NM_001025159	CD74
NM_001025158	CD74
NM_001025109	CD34
NM_001038628	B3GALNT1
NM_001098418	GAGE12E
NM_001098418	GAGE12E
NM_001098418	GAGE12E
NM_001127328	ACADM
NM_018708	FEM1A
NM_001167930	IL1RAP
NM_001204292	MUC1
NM_001977	ENPEP
NM_002691	POLD1
NM_004532	MUC4
NM_080918	DGUOK
NM_080916	DGUOK
NM_080914	ASGR2
NM_080913	ASGR2
NM_182628	CFAP100
NM_182627	WDR53
NM_182625	GEN1
NM_182623	FAM131C
NM_182619	CLEC18A
NM_182620	SKA2
NM_182617	ACSM2B
NM_182616	ARPIN
NM_182614	TMEM255B
NM_182612	PDDC1
NM_182609	ZNF677
NM_001286843	PHF19
NM_030651	PRRT1
NM_030649	ACAP3
NM_030650	KIAA1715
NM_001306140	QDPR
NM_030647	KDM7A
NM_030645	SH3BP5L
NM_030643	APOL4
NM_030641	APOL6
NM_030626	LRRC27
NM_030640	DUSP16
NM_032270	LRRC8C
NM_030637	DDHD1
NM_030636	EEPD1
NM_030634	ZNF436
NM_030632	ASXL3
NM_030631	SLC25A21
NM_030629	CMIP
NM_030630	HID1
NM_001004698	OR2W5
NM_016732	RALY
NM_016729	FOLR1
NM_016725	FOLR1
NM_016724	FOLR1
NM_016657	KDELR3
NM_016656	RRAGB
NM_016655	GABPB1
NM_016654	GABPB1
NM_016653	ZAK
NM_016652	CRNKL1
NM_016651	DACT1
NM_016649	ESF1
NM_017658	KLHL28
NM_016647	THEM6
NM_016395	HACD3
NM_016643	ZNF771
NM_001195260	PDE4DIP
NM_006624	ZMYND11
NM_006623	PHGDH
NM_006622	PLK2
NM_007046	EMILIN1
NM_015607	CHTOP
NM_015596	KLK13
NM_015315	LARP1
NM_001143836	NOX4
NM_001143835	NFRKB
NM_003304	TRPC1
NM_003292	TPR
NM_147185	AKAP9
NM_145808	MTPN
NM_145807	NTN5
NM_001311193	PLA2G4A
NM_015701	ERLEC1
NM_015691	WWC3
NM_015700	NFU1
NM_015689	DENND2A
NM_015690	STK36
NM_016249	MAGEC2
NM_016248	AKAP11
NM_015687	FILIP1
NM_016212	TP53TG3
NM_015685	SDCBP2
NM_016212	TP53TG3
NM_015683	ARRDC2
NM_015681	B9D1
NM_015680	CNPPD1
NM_015679	TRUB2
NM_015678	NBEA
NM_007050	PTPRT
NM_014228	SLC6A7
NM_145203	CSNK1A1L
NM_002529	NTRK1
NM_145208	MBD3L1
NM_002528	NTHL1
NM_002526	NT5E
NM_001006947	UHRF1BP1L
NM_001031710	KLHL7
NM_001009881	ZCCHC11
NM_001303449	SRRM1
NM_001032278	MMP28
NM_001032221	STXBP1
NM_005054	RGPD5
NM_001081550	THOC2
NM_019852	METTL3
NM_020851	ISLR2
NM_019851	FGF20
NM_019850	NGEF
NM_001040710	FAM228A
NM_001039697	SNAPC3
NM_001014434	LHX9
NM_001014433	CUTA
NM_001014432	AKT1
NM_001014431	AKT1
NM_001130160	STOX1
NM_001033560	DYX1C1
NM_001161659	MYB
NM_001184988	NDUFC1
NM_001184987	NDUFC1
NM_001171092	CLDN2
NM_130762	MADCAM1
NM_130760	MADCAM1
NM_130759	GIMAP1
NM_130476	MADD
NM_130475	MADD
NM_130474	MADD
NM_130473	MADD
NM_006570	RRAGA
NM_001164779	ATXN3
NM_001144989	ZNF814
NM_001164310	FAM166B
NM_001145474	TEX38
NM_001160036	RHOBTB2
NM_001145797	SH2B1
NM_016541	GNG13
NM_017449	EPHB2
NM_016539	SIRT6
NM_016538	SIRT7
NM_016536	ZNF571
NM_016535	ZNF581
NM_025138	PROSER1
NM_001153484	SCOC
NM_001172431	AMPD3
NM_001304835	OGFOD2
NM_173635	SIGLECL1
NM_001001568	PDE9A
NM_153461	IL17RC
NM_001128431	SLC39A14
NM_001172897	CAV1
NM_001172896	CAV1
NM_001167819	FHL1
NM_203408	FAM47A
NM_130466	UBE3B
NM_001278596	ANO2
NM_001201548	SLC16A4
NM_002660	PLCG1
NM_002606	PDE9A
NM_152361	EID2B
NM_025041	C3orf36
NM_001142702	DLG2
NM_001166624	CFHR3
NM_001009991	SYTL3
NM_005638	VAMP7
NM_001204504	DGKH
NM_001159736	BUD13
NM_001159727	PLBD2
NM_001242539	NCOA6
NM_001242793	SNAP91
NM_001242792	SNAP91
NM_001242843	ZNF195
NM_001242842	ZNF195
NM_001242841	ZNF195
NM_001242840	GUK1
NM_001242839	GUK1
NM_001242837	AP2A2
NM_001242829	IP6K1
NM_001242827	SIRT5
NM_001242826	RNF41
NM_001242823	C4B_2
NM_001242823	C4B_2
NM_015717	CD207
NM_015716	MINK1
NM_007267	TMC6
NM_152431	PIWIL4
NM_152429	FGFBP3
NM_152430	OR51E1
NM_152426	APOBEC3D
NM_152424	AMER1
NM_152423	MUM1L1
NM_152422	PTPDC1
NM_001556	IKBKB
NM_003357	SCGB1A1
NM_080750	DPH3P1
NM_002206	ITGA7
NM_003956	CH25H
NM_001104545	TMEM255A
NM_001256891	SRI
NM_001130965	SUN1
NM_001160031	FLT1
NM_001160030	FLT1
NM_001160011	ST6GALNAC3
NM_001160115	C15orf40
NM_015161	ARL6IP1
NM_001145443	PFKFB3
NM_001134373	NT5C2
NM_001134389	ZDHHC4
NM_001134388	ZDHHC4
NM_001134387	ZDHHC4
NM_001142505	ABCG4
NM_001170790	MFSD5
NM_001170784	FAM122C
NM_001170783	FAM122C
NM_001170782	FAM122C
NM_020802	CEP126
NM_001174168	SYK
NM_152678	DENND6A
NM_152677	ZSCAN4
NM_052857	ZNF830
NM_001174094	ZEB1
NM_001028	RPS25
NM_002922	RGS1
NM_003022	SH3BGRL
NM_002921	RGR
NM_003021	SGTA
NM_002919	RFX3
NM_003019	SFTPD
NM_001206846	ASPM
NM_003020	SCG5
NM_003018	SFTPC
NM_002918	RFX1
NM_004349	RUNX1T1
NM_002917	RFNG
NM_001102469	LIPN
NM_177540	TAS1R1
NM_001128596	TC2N
NM_001128595	TC2N
NM_001130090	DRC3
NM_001130089	KARS
NM_001505	GPER1
NM_001708	OPN1SW
NM_001698	AUH
NM_001707	BCL7B
NM_023067	FOXL2
NM_178820	FBXO27
NM_178818	CMTM4
NM_178822	IGSF10
NM_001024661	PRAMEF14
NM_001004470	ST8SIA6
NM_001734	C1S
NM_030905	OR2J2
NM_001370	DNAH6
NM_004259	RECQL5
NM_004258	CD101
NM_002915	RFC3
NM_002644	PIGR
NM_003037	SLAMF1
NM_002639	SERPINB5
NM_002640	SERPINB8
NM_002638	PI3
NM_002637	PHKA1
NM_001304969	PKP4
NM_001304957	CCDC92
NM_001286374	TOMM40L
NM_001286373	TOMM40L
NM_001286372	VTA1
NM_000759	CSF3
NM_006783	GJB6
NM_006763	BTG2
NM_006418	OLFM4
NM_006820	IFI44L
NM_006416	SLC35A1
NM_006415	SPTLC1
NM_006414	RPP38
NM_006413	RPP30
NM_006412	AGPAT2
NM_006411	AGPAT1
NM_031407	HUWE1
NM_212479	ZMYND11
NM_213618	ST5
NM_213613	SLC26A1
NM_213611	SLC25A3
NM_213599	ANO5
NM_213609	FAM19A1
NM_213608	C2orf66
NM_213598	ZNF543
NM_213597	KRBA2
NM_213607	CCDC103
NM_213606	SLC16A12
NM_213596	FOXN4
NM_207111	RNF216
NM_001976	ENO3
NM_005512	LRRC32
NM_005511	MLANA
NM_016025	METTL9
NM_014460	CSDC2
NM_014456	PDCD4
NM_001242409	GAREM1
NM_001242395	SYTL3
NM_001085384	ZNF154
NM_016195	KIF20B
NM_016642	SPTBN5
NM_001271776	RALGDS
NM_001271775	RALGDS
NM_001286838	GRID2
NM_001286836	CBWD5
NM_001286836	CBWD5
NM_001286835	CBWD5
NM_001286833	GAK
NM_001286832	RCBTB2
NM_018973	DPM3
NM_001201335	GCFC2
NM_001012334	MDK
NM_002392	MDM2
NM_004469	FIGF
NM_004461	FARSA
NM_178471	GPR119
NM_006309	LRRFIP2
NM_001256213	ATP1A3
NM_001317231	MTCH2
NM_006659	TUBGCP2
NM_006658	PPP1R17
NM_006657	FTCD
NM_001282856	GON4L
NM_001440	EXTL3
NM_001438	ESRRG
NM_000493	COL10A1
NM_000503	EYA1
NM_000492	CFTR
NM_001258420	ZFYVE19
NM_001258421	ZFYVE19
NM_001080452	GPR108
NM_001080451	SERPINA11
NM_001195483	SLC12A8
NM_001195479	TFG
NM_001195478	TFG
NM_001195470	SATB1
NM_001195446	SRSF7
NM_001195442	LOC100132146
NM_001195434	MLF1
NM_001195433	MLF1
NM_001195432	MLF1
NM_001195430	DCLK1
NM_001195427	SRSF2
NM_001195422	GTPBP3
NM_001195416	DCLK1
NM_001195415	DCLK1
NM_000048	ASL
NM_000047	ARSE
NM_000046	ARSB
NM_000045	ARG1
